Record sequence,Record Identifier,Receipt number,Tender code,Amount,Ref number,Expiry date,Branch,Location Code,Date,Time,EFT Card Type,EFT Account Type,EFT Audit Number,Shift,Pos/User ID,EFT Settlement Date,Change records,Foreign currency amount,Foreign currency exchange rate,Voucher Issue,EFTPOS Cashout Amount,Tender Line Number
"sl000001","TN","100","PAYPAL","106.30","","","63","63","20150522","20150522","","","","","0001","","N","0","0","N","",""
"sl000002","TN","101","PAYPAL","106.30","","","63","63","20150526","20150526","","","","","0001","","N","0","0","N","",""
"sl000003","TN","106","PAYPAL","61.30","","","63","63","20150529","20150529","","","","","0001","","N","0","0","N","",""
"sl000004","TN","109","PAYPAL","10706.30","","","63","63","20150529","20150529","","","","","0001","","N","0","0","N","",""
"sl000005","TN","110","PAYPAL","55.80","","","63","63","20150529","20150529","","","","","0001","","N","0","0","N","",""
"sl000006","TN","111","PAYPAL","195.30","","","63","63","20150604","20150604","","","","","0001","","N","0","0","N","",""
"sl000007","TN","112","PAYPAL","762.30","","","63","63","20150605","20150605","","","","","0001","","N","0","0","N","",""
"sl000008","TN","113","PAYPAL","195.30","","","63","63","20150612","20150612","","","","","0001","","N","0","0","N","",""
"sl000009","TN","114","PAYPAL","195.30","","","63","63","20150613","20150613","","","","","0001","","N","0","0","N","",""
"sl000010","TN","115","PAYPAL","524.62","","","63","63","20150615","20150615","","","","","0001","","N","0","0","N","",""
"sl000011","TN","118","PAYPAL","195.30","","","63","63","20150616","20150616","","","","","0001","","N","0","0","N","",""
"sl000012","TN","119","PAYPAL","208.97","","","63","63","20150616","20150616","","","","","0001","","N","0","0","N","",""
"sl000013","TN","120","PAYPAL","195.30","","","63","63","20150616","20150616","","","","","0001","","N","0","0","N","",""
"sl000014","TN","121","PAYPAL","195.30","","","63","63","20150616","20150616","","","","","0001","","N","0","0","N","",""
"sl000015","TN","122","PAYPAL","195.30","","","63","63","20150616","20150616","","","","","0001","","N","0","0","N","",""
"sl000016","TN","123","PAYPAL","195.30","","","63","63","20150617","20150617","","","","","0001","","N","0","0","N","",""
"sl000017","TN","124","PAYPAL","195.30","","","63","63","20150617","20150617","","","","","0001","","N","0","0","N","",""
"sl000018","TN","125","PAYPAL","195.30","","","63","63","20150617","20150617","","","","","0001","","N","0","0","N","",""
"sl000019","TN","126","PAYPAL","195.30","","","63","63","20150617","20150617","","","","","0001","","N","0","0","N","",""
"sl000020","TN","127","PAYPAL","189.00","","","63","63","20150714","20150714","","","","","0001","","N","0","0","N","",""
"sl000021","TN","128","PAYPAL","189.00","","","63","63","20150715","20150715","","","","","0001","","N","0","0","N","",""
"sl000022","TN","129","PAYPAL","189.00","","","63","63","20150715","20150715","","","","","0001","","N","0","0","N","",""
"sl000023","TN","130","PAYPAL","4158.00","","","63","63","20150717","20150717","","","","","0001","","N","0","0","N","",""
