Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;List qty count;Shipping freight;Date added;Inventory tracking;Free shipping;Feature comparison;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Short description;Status;Image URL;Detailed image URL;Analogue tags
"NIK652858601";"en";"1166";"Women";"99.00";"99.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/nik652858601_1.jpg#{[en]:;}";"NIKE W Flx Experience Rn 3 MSL";"";"NIKE W Flx Experience Rn 3 MSL";"NIKE W Flx Experience Rn 3 MSL";"NIKE W Flx Experience Rn 3 MSL";"NIKE W Flx Experience Rn 3 MSL";"GST";"Brand: E[NIKE]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[6,6.5,7,7.5,8,8.5,9,9.5]";"Women///Footwear///Running; Women///Footwear; Brands///Nike///Women's RUNNING; Brands///Nike";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/3/nik652858601_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/3/nik652858601_1.jpg";"NIKE W Flx Experience Rn 3 MSL"
"NIK684658002";"en";"1167";"Men";"89.00";"89.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/nik684658002_1.jpg#{[en]:;}";"NIKE Downshifter 6 MSL";"";"NIKE Downshifter 6 MSL";"NIKE Downshifter 6 MSL";"NIKE Downshifter 6 MSL";"NIKE Downshifter 6 MSL";"GST";"Brand: E[NIKE]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[8,8.5,9,9.5,10,10.5,11]";"Men///Footwear///Running; Men///Footwear; Brands///Nike///Men's RUNNING; Brands///Nike";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/3/nik684658002_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/3/nik684658002_1.jpg";"NIKE Downshifter 6 MSL"
"NIK684658100";"en";"1168";"Men";"89.00";"89.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/nik684658100_1.jpg#{[en]:;}";"NIKE Downshifter 6 MSL";"";"NIKE Downshifter 6 MSL";"NIKE Downshifter 6 MSL";"NIKE Downshifter 6 MSL";"NIKE Downshifter 6 MSL";"GST";"Brand: E[NIKE]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[8,8.5,9,9.5,10,10.5,11]";"Men///Footwear///Running; Men///Footwear; Brands///Nike///Men's RUNNING; Brands///Nike";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/3/nik684658100_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/3/nik684658100_1.jpg";"NIKE Downshifter 6 MSL"
"NIK684771002";"en";"1169";"Women";"89.00";"89.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/nik684771002_1.jpg#{[en]:;}";"NIKE W Downshifter 6 MSL";"";"NIKE W Downshifter 6 MSL";"NIKE W Downshifter 6 MSL";"NIKE W Downshifter 6 MSL";"NIKE W Downshifter 6 MSL";"GST";"Brand: E[NIKE]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[6,6.5,7,7.5,8,8.5,9,9.5]";"Women///Footwear///Running; Women///Footwear; Brands///Nike///Women's RUNNING; Brands///Nike";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/3/nik684771002_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/3/nik684771002_1.jpg";"NIKE W Downshifter 6 MSL"
"NIK684771102";"en";"1170";"Women";"89.00";"89.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/nik684771102_1.jpg#{[en]:;}";"NIKE W Air Downshifter 6 MSL";"";"NIKE W Air Downshifter 6 MSL";"NIKE W Air Downshifter 6 MSL";"NIKE W Air Downshifter 6 MSL";"NIKE W Air Downshifter 6 MSL";"GST";"Brand: E[NIKE]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[6,6.5,7,7.5,8,8.5,9,9.5]";"Women///Footwear///Running; Women///Footwear; Brands///Nike///Women's RUNNING; Brands///Nike";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/3/nik684771102_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/3/nik684771102_1.jpg";"NIKE W Air Downshifter 6 MSL"
"NIK685139002";"en";"1171";"Men";"99.00";"99.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/nik685139002_1.jpg#{[en]:;}";"NIKE Air Relentless 4 MSL";"";"NIKE Air Relentless 4 MSL";"NIKE Air Relentless 4 MSL";"NIKE Air Relentless 4 MSL";"NIKE Air Relentless 4 MSL";"GST";"Brand: E[NIKE]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[8,8.5,9,9.5,10,10.5,11]";"Men///Footwear///Running; Men///Footwear; Brands///Nike///Men's RUNNING; Brands///Nike";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/3/nik685139002_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/3/nik685139002_1.jpg";"NIKE Air Relentless 4 MSL"
"NIK685139003";"en";"1172";"Men";"99.00";"99.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/nik685139003_1.jpg#{[en]:;}";"NIKE Air Relentless 4 MSL";"";"NIKE Air Relentless 4 MSL";"NIKE Air Relentless 4 MSL";"NIKE Air Relentless 4 MSL";"NIKE Air Relentless 4 MSL";"GST";"Brand: E[NIKE]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[8,8.5,9,9.5,10,10.5,11]";"Men///Footwear///Running; Men///Footwear; Brands///Nike///Men's RUNNING; Brands///Nike";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/3/nik685139003_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/3/nik685139003_1.jpg";"NIKE Air Relentless 4 MSL"
"NIK685139005";"en";"1173";"Men";"99.00";"99.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/nik685139005_1.jpg#{[en]:;}";"NIKE Air Relentless 4 MSL";"";"NIKE Air Relentless 4 MSL";"NIKE Air Relentless 4 MSL";"NIKE Air Relentless 4 MSL";"NIKE Air Relentless 4 MSL";"GST";"Brand: E[NIKE]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[8,8.5,9,9.5,10,10.5,11]";"Men///Footwear///Running; Men///Footwear; Brands///Nike///Men's RUNNING; Brands///Nike";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/3/nik685139005_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/3/nik685139005_1.jpg";"NIKE Air Relentless 4 MSL"
"NIK685152003";"en";"1174";"Women";"99.00";"99.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/nik685152003_1.jpg#{[en]:;}";"NIKE W Air Relentless 4 MSL";"";"NIKE W Air Relentless 4 MSL";"NIKE W Air Relentless 4 MSL";"NIKE W Air Relentless 4 MSL";"NIKE W Air Relentless 4 MSL";"GST";"Brand: E[NIKE]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[6,6.5,7,7.5,8,8.5,9,9.5]";"Women///Footwear///Running; Women///Footwear; Brands///Nike///Women's RUNNING; Brands///Nike";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/3/nik685152003_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/3/nik685152003_1.jpg";"NIKE W Air Relentless 4 MSL"
"NIK685152500";"en";"1175";"Women";"99.00";"99.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/nik685152500_1.jpg#{[en]:;}";"NIKE W Air Relentless 4 MSL";"";"NIKE W Air Relentless 4 MSL";"NIKE W Air Relentless 4 MSL";"NIKE W Air Relentless 4 MSL";"NIKE W Air Relentless 4 MSL";"GST";"Brand: E[NIKE]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[6,6.5,7,7.5,8,8.5,9,9.5]";"Women///Footwear///Running; Women///Footwear; Brands///Nike///Women's RUNNING; Brands///Nike";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/3/nik685152500_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/3/nik685152500_1.jpg";"NIKE W Air Relentless 4 MSL"
