Product code,Pair type,Thumbnail,Detailed image
"BRO120176587","M","","exim/backup/images/bro120176587_1.jpg#{[en]:;}"
"BRO120178302","A","","exim/backup/images/bro120178302_2.jpg#{[en]:;}"
"BRO120178302","A","","exim/backup/images/bro120178302_3.jpg#{[en]:;}"
"BRO120178302","A","","exim/backup/images/bro120178302_4.jpg#{[en]:;}"
"BRO120178302","A","","exim/backup/images/bro120178302_2.jpg#{[en]:;}"
"BRO120178302","A","","exim/backup/images/bro120178302_3.jpg#{[en]:;}"
"BRO120178302","A","","exim/backup/images/bro120178302_4.jpg#{[en]:;}"
"BRO120178302","M","","exim/backup/images/bro120178302_1.jpg#{[en]:;}"
"BRO120175559","A","","exim/backup/images/bro120175559_2.jpg#{[en]:;}"
"BRO120175559","A","","exim/backup/images/bro120175559_3.jpg#{[en]:;}"
"BRO120175559","A","","exim/backup/images/bro120175559_4.jpg#{[en]:;}"
"BRO120175559","A","","exim/backup/images/bro120175559_2.jpg#{[en]:;}"
"BRO120175559","A","","exim/backup/images/bro120175559_3.jpg#{[en]:;}"
"BRO120175559","A","","exim/backup/images/bro120175559_4.jpg#{[en]:;}"
"BRO120175559","M","","exim/backup/images/bro120175559_1.jpg#{[en]:;}"
"ASITH3K0N2001","A","","exim/backup/images/asith3k0n2001_2.jpg#{[en]:;}"
"ASITH3K0N2001","A","","exim/backup/images/asith3k0n2001_3.jpg#{[en]:;}"
"ASITH3K0N2001","A","","exim/backup/images/asith3k0n2001_4.jpg#{[en]:;}"
"ASITH3K0N2001","A","","exim/backup/images/asith3k0n2001_5.jpg#{[en]:;}"
"ASITH3K0N2001","A","","exim/backup/images/asith3k0n2001_2_wno0-ae.jpg#{[en]:;}"
"ASITH3K0N2001","A","","exim/backup/images/asith3k0n2001_3_35t2-ik.jpg#{[en]:;}"
"ASITH3K0N2001","A","","exim/backup/images/asith3k0n2001_4_8pzm-4u.jpg#{[en]:;}"
"ASITH3K0N2001","A","","exim/backup/images/asith3k0n2001_5_mdf1-33.jpg#{[en]:;}"
"ASITH3K0N2001","M","","exim/backup/images/asith3k0n2001_1.jpg#{[en]:;}"
"ASITH3Q0Y0301","M","","exim/backup/images/asith3q0y0301_1.jpg#{[en]:;}"
"ASITH3V3L2511","A","","exim/backup/images/asith3v3l2511_2.jpg#{[en]:;}"
"ASITH3V3L2511","A","","exim/backup/images/asith3v3l2511_3.jpg#{[en]:;}"
"ASITH3V3L2511","A","","exim/backup/images/asith3v3l2511_4.jpg#{[en]:;}"
"ASITH3V3L2511","A","","exim/backup/images/asith3v3l2511_5.jpg#{[en]:;}"
"ASITH3V3L2511","A","","exim/backup/images/asith3v3l2511_2_em3l-hh.jpg#{[en]:;}"
"ASITH3V3L2511","A","","exim/backup/images/asith3v3l2511_3_ee53-ff.jpg#{[en]:;}"
"ASITH3V3L2511","A","","exim/backup/images/asith3v3l2511_4_iilb-l3.jpg#{[en]:;}"
"ASITH3V3L2511","A","","exim/backup/images/asith3v3l2511_5_wttv-fy.jpg#{[en]:;}"
"ASITH3V3L2511","M","","exim/backup/images/asith3v3l2511_1.jpg#{[en]:;}"
"ASITH327Y4209","A","","exim/backup/images/asith327y4209_2.jpg#{[en]:;}"
"ASITH327Y4209","A","","exim/backup/images/asith327y4209_3.jpg#{[en]:;}"
"ASITH327Y4209","A","","exim/backup/images/asith327y4209_4.jpg#{[en]:;}"
"ASITH327Y4209","A","","exim/backup/images/asith327y4209_5.jpg#{[en]:;}"
"ASITH327Y4209","A","","exim/backup/images/asith327y4209_2_qfi3-xt.jpg#{[en]:;}"
"ASITH327Y4209","A","","exim/backup/images/asith327y4209_3_btbd-m2.jpg#{[en]:;}"
"ASITH327Y4209","A","","exim/backup/images/asith327y4209_4_av4m-q2.jpg#{[en]:;}"
"ASITH327Y4209","A","","exim/backup/images/asith327y4209_5_veyc-q6.jpg#{[en]:;}"
"ASITH327Y4209","M","","exim/backup/images/asith327y4209_1.jpg#{[en]:;}"
"ASITH430L2550","A","","exim/backup/images/asith430l2550_2.jpg#{[en]:;}"
"ASITH430L2550","A","","exim/backup/images/asith430l2550_3.jpg#{[en]:;}"
