Product code,Language,Product id,Category,List price,Price,Weight,Quantity,Min quantity,List qty count,Shipping freight,Date added,Inventory tracking,Free shipping,Feature comparison,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,Short description,Status,Image URL,Detailed image URL,Analogue tags
"BRO120182157","en","820","Women","189.00","189.00","0.50","10","0","0","0.00","08 Mar 2015 00:00:00","O","N","N","R","","exim/backup/images/bro120182157_1.jpg#{[en]:;}","BROOKS W Ravenna 6 D width","","BROOKS W Ravenna 6 D width","BROOKS W Ravenna 6 D width","BROOKS W Ravenna 6 D width","BROOKS W Ravenna 6 D width","GST","Brand: E[BROOKS]","(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13]","Women///Footwear///Running; Women///Footwear; Brands///Brooks///Women's RUNNING; Brands///Brooks","","A","http://lostcom.us/sportslinkshop/images/detailed/2/bro120182157_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/2/bro120182157_1.jpg","BROOKS W Ravenna 6 D width"
"BRO120182490","en","821","Women","189.00","189.00","0.50","10","0","0","0.00","08 Mar 2015 00:00:00","O","N","N","R","","exim/backup/images/bro120182490_1.jpg#{[en]:;}","BROOKS W Ravenna 6 D width","","BROOKS W Ravenna 6 D width","BROOKS W Ravenna 6 D width","BROOKS W Ravenna 6 D width","BROOKS W Ravenna 6 D width","GST","Brand: E[BROOKS]","(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13]","Women///Footwear///Running; Women///Footwear; Brands///Brooks///Women's RUNNING; Brands///Brooks","","A","http://lostcom.us/sportslinkshop/images/detailed/2/bro120182490_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/2/bro120182490_1.jpg","BROOKS W Ravenna 6 D width"
"BRO120182657","en","822","Women","189.00","179.00","0.50","10","0","0","0.00","08 Mar 2015 00:00:00","O","N","N","R","","exim/backup/images/bro120182657_1.jpg#{[en]:;}","BROOKS W Ravenna 6 D width","","BROOKS W Ravenna 6 D width","BROOKS W Ravenna 6 D width","BROOKS W Ravenna 6 D width","BROOKS W Ravenna 6 D width","GST","Brand: E[BROOKS]","(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13]","Women///Footwear///Running; Women///Footwear; Brands///Brooks///Women's RUNNING; Brands///Brooks","","A","http://lostcom.us/sportslinkshop/images/detailed/2/bro120182657_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/2/bro120182657_1.jpg","BROOKS W Ravenna 6 D width"
