Record sequence;Record Identifier;Branch Code;Location Code;Date;Time;Pos/User ID;Receipt number;Invoice number;Layby number;Customer number;Total Sales exclude GST;Discount exclude GST;Rounding;Cheque fee;Service charges;GST amount;Sales tax;Number of detail lines;Total GST inclusive;Charged to account;Charge account payment amount;Layby payment amount;Discount GST inclusive;Customer order number;Sales tax flag;Tax exemption certificate number;Customer club code;Club points awarded this transaction;VIP Customer number;Customer postcode;GST Liability;Optional end of transaction field 1;Optional end of transaction field 2;Staff surname for staff discount;Staff first name for staff discount;Staff/payroll number for staff disc;Fly buys number;Fly buys number replace in host;Reward Code;Optional end of transaction field 3;Optional end of transaction field 4;Optional end of transaction field 5;Global tax rate;Error correct transaction;Total trade in value;Tour code;Tour operator commission rate;Nuance Transaction Type;Nuance Sale Type Analysis Code;Sales Person Code;Cashier branch;Sales person branch;Sale contains Gift Purchases;External Transaction File
"sl000001";"SH";"63";"63";"20150612";"10:41:52";"0001";"113";"";"";"";"195.30";"0.00";"0";"0";"0";"0";"0";"1";"195.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000002";"SH";"63";"63";"20150613";"06:40:14";"0001";"114";"";"";"";"195.30";"0.00";"0";"0";"0";"0";"0";"1";"195.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000003";"SH";"63";"63";"20150615";"19:17:41";"0001";"115";"";"";"";"490.3";"0.00";"0";"0";"0";"7.000";"0";"4";"524.62";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"7.000";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000004";"SH";"63";"63";"20150615";"19:21:59";"0001";"116";"";"";"";"195.3";"0.00";"0";"0";"0";"7.000";"0";"1";"208.97";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"7.000";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000005";"SH";"63";"63";"20150615";"19:24:21";"0001";"117";"";"";"";"195.30";"0.00";"0";"0";"0";"0";"0";"1";"195.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000006";"SH";"63";"63";"20150616";"11:23:02";"0001";"118";"";"";"";"195.30";"0.00";"0";"0";"0";"0";"0";"1";"195.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000007";"SH";"63";"63";"20150616";"11:39:29";"0001";"119";"";"";"";"195.3";"0.00";"0";"0";"0";"7.000";"0";"1";"208.97";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"7.000";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000008";"SH";"63";"63";"20150616";"22:19:04";"0001";"120";"";"";"";"195.30";"0.00";"0";"0";"0";"0";"0";"1";"195.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000009";"SH";"63";"63";"20150616";"23:28:48";"0001";"121";"";"";"";"195.30";"0.00";"0";"0";"0";"0";"0";"1";"195.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000010";"SH";"63";"63";"20150616";"23:31:06";"0001";"122";"";"";"";"195.30";"0.00";"0";"0";"0";"0";"0";"1";"195.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000011";"SH";"63";"63";"20150617";"00:08:06";"0001";"123";"";"";"";"195.30";"0.00";"0";"0";"0";"0";"0";"1";"195.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000012";"SH";"63";"63";"20150617";"00:09:48";"0001";"124";"";"";"";"195.30";"0.00";"0";"0";"0";"0";"0";"1";"195.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000013";"SH";"63";"63";"20150617";"02:48:54";"0001";"125";"";"";"";"195.30";"0.00";"0";"0";"0";"0";"0";"1";"195.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000014";"SH";"63";"63";"20150617";"09:23:36";"0001";"126";"";"";"";"195.30";"0.00";"0";"0";"0";"0";"0";"1";"195.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000015";"SH";"63";"63";"20150605";"06:13:02";"0001";"112";"";"";"";"762.30";"0.00";"0";"0";"0";"0";"0";"3";"762.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
"sl000016";"SH";"63";"63";"20150604";"20:34:11";"0001";"111";"";"";"";"195.30";"0.00";"0";"0";"0";"0";"0";"1";"195.30";"0";"0";"0";"0.00";"";"T";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"0";"N";"0";"";"0";"0";"";"0001";"";"";"";""
