Product code,Language,Product id,Category,List price,Price,Weight,Quantity,Min quantity,List qty count,Shipping freight,Date added,Inventory tracking,Free shipping,Feature comparison,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,Short description,Status,Image URL,Detailed image URL,Analogue tags
"BRO110181057","en","1212","Men","199.00","199.00","0.50","10","0","0","0.00","08 Apr 2015 00:00:00","O","N","N","R","","exim/backup/images/bro110181057_1.jpg#{[en]:;}","BROOKS M Adrenaline GTS 15 2E Width","","BROOKS M Adrenaline GTS 15 2E Width","BROOKS M Adrenaline GTS 15 2E Width","BROOKS M Adrenaline GTS 15 2E Width","BROOKS M Adrenaline GTS 15 2E Width","GST","Brand: E[BROOKS]","(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running; Men///Footwear; Brands///Brooks///Men's RUNNING; Brands///Brooks","","A","http://lostcom.us/sportslinkshop/images/detailed/3/bro110181057_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/3/bro110181057_1.jpg","BROOKS M Adrenaline GTS 15 2E Width"
"BRO110181168","en","1213","Men","199.00","199.00","0.50","10","0","0","0.00","08 Apr 2015 00:00:00","O","N","N","R","","exim/backup/images/bro110181168_1.jpg#{[en]:;}","BROOKS M Adrenaline GTS 15 2E Width","","BROOKS M Adrenaline GTS 15 2E Width","BROOKS M Adrenaline GTS 15 2E Width","BROOKS M Adrenaline GTS 15 2E Width","BROOKS M Adrenaline GTS 15 2E Width","GST","Brand: E[BROOKS]","(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running; Men///Footwear; Brands///Brooks///Men's RUNNING; Brands///Brooks","","A","http://lostcom.us/sportslinkshop/images/detailed/3/bro110181168_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/3/bro110181168_1.jpg","BROOKS M Adrenaline GTS 15 2E Width"
"BRO110181813","en","1214","Men","199.00","199.00","0.50","10","0","0","0.00","08 Apr 2015 00:00:00","O","N","N","R","","exim/backup/images/bro110181813_1.jpg#{[en]:;}","BROOKS M Adrenaline GTS 15 2E","","BROOKS M Adrenaline GTS 15 2E","BROOKS M Adrenaline GTS 15 2E","BROOKS M Adrenaline GTS 15 2E","BROOKS M Adrenaline GTS 15 2E","GST","Brand: E[BROOKS]","(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running; Men///Footwear; Brands///Brooks///Men's RUNNING; Brands///Brooks","","A","http://lostcom.us/sportslinkshop/images/detailed/3/bro110181813_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/3/bro110181813_1.jpg","BROOKS M Adrenaline GTS 15 2E"
