Product ID,Product name,Combination code,Combination,Amount,Language
"1344","BROOKS W Cascadia 10","BRO120181424","International: US, Shoe Size: 6","2","en"
"1344","BROOKS W Cascadia 10","BRO120181424","International: US, Shoe Size: 6.5","2","en"
"1344","BROOKS W Cascadia 10","BRO120181424","International: US, Shoe Size: 7","2","en"
"1344","BROOKS W Cascadia 10","BRO120181424","International: US, Shoe Size: 7.5","2","en"
"1344","BROOKS W Cascadia 10","BRO120181424","International: US, Shoe Size: 8","2","en"
"1344","BROOKS W Cascadia 10","BRO120181424","International: US, Shoe Size: 8.5","2","en"
"1344","BROOKS W Cascadia 10","BRO120181424","International: US, Shoe Size: 9","2","en"
"1344","BROOKS W Cascadia 10","BRO120181424","International: US, Shoe Size: 9.5","2","en"
"1343","BROOKS W Launch2","BRO120178635","International: US, Shoe Size: 6","2","en"
"1343","BROOKS W Launch2","BRO120178635","International: US, Shoe Size: 6.5","2","en"
"1343","BROOKS W Launch2","BRO120178635","International: US, Shoe Size: 7","2","en"
"1343","BROOKS W Launch2","BRO120178635","International: US, Shoe Size: 7.5","2","en"
"1343","BROOKS W Launch2","BRO120178635","International: US, Shoe Size: 8","2","en"
"1343","BROOKS W Launch2","BRO120178635","International: US, Shoe Size: 8.5","2","en"
"1343","BROOKS W Launch2","BRO120178635","International: US, Shoe Size: 9","2","en"
"1343","BROOKS W Launch2","BRO120178635","International: US, Shoe Size: 9.5","2","en"
"1345","BROOKS W Cascadia 10","BRO120181624","International: US, Shoe Size: 6","2","en"
"1345","BROOKS W Cascadia 10","BRO120181624","International: US, Shoe Size: 6.5","2","en"
"1345","BROOKS W Cascadia 10","BRO120181624","International: US, Shoe Size: 7","2","en"
"1345","BROOKS W Cascadia 10","BRO120181624","International: US, Shoe Size: 7.5","2","en"
"1345","BROOKS W Cascadia 10","BRO120181624","International: US, Shoe Size: 8","2","en"
"1345","BROOKS W Cascadia 10","BRO120181624","International: US, Shoe Size: 8.5","2","en"
"1345","BROOKS W Cascadia 10","BRO120181624","International: US, Shoe Size: 9","2","en"
"1345","BROOKS W Cascadia 10","BRO120181624","International: US, Shoe Size: 9.5","2","en"
"1346","BROOKS W Ravenna 6 D width","BRO120182157","International: US, Shoe Size: 6","2","en"
"1346","BROOKS W Ravenna 6 D width","BRO120182157","International: US, Shoe Size: 6.5","2","en"
"1346","BROOKS W Ravenna 6 D width","BRO120182157","International: US, Shoe Size: 7","2","en"
"1346","BROOKS W Ravenna 6 D width","BRO120182157","International: US, Shoe Size: 7.5","2","en"
"1346","BROOKS W Ravenna 6 D width","BRO120182157","International: US, Shoe Size: 8","2","en"
"1346","BROOKS W Ravenna 6 D width","BRO120182157","International: US, Shoe Size: 8.5","2","en"
"1346","BROOKS W Ravenna 6 D width","BRO120182157","International: US, Shoe Size: 9","2","en"
"1346","BROOKS W Ravenna 6 D width","BRO120182157","International: US, Shoe Size: 9.5","2","en"
"1347","BROOKS W Ravenna 6 D width","BRO120182490","International: US, Shoe Size: 6","2","en"
"1347","BROOKS W Ravenna 6 D width","BRO120182490","International: US, Shoe Size: 6.5","2","en"
"1347","BROOKS W Ravenna 6 D width","BRO120182490","International: US, Shoe Size: 7","2","en"
"1347","BROOKS W Ravenna 6 D width","BRO120182490","International: US, Shoe Size: 7.5","2","en"
"1347","BROOKS W Ravenna 6 D width","BRO120182490","International: US, Shoe Size: 8","2","en"
"1347","BROOKS W Ravenna 6 D width","BRO120182490","International: US, Shoe Size: 8.5","2","en"
"1347","BROOKS W Ravenna 6 D width","BRO120182490","International: US, Shoe Size: 9","2","en"
"1347","BROOKS W Ravenna 6 D width","BRO120182490","International: US, Shoe Size: 9.5","2","en"
"1348","BROOKS W Ravenna 6 D width","BRO120182657","International: US, Shoe Size: 6","2","en"
"1348","BROOKS W Ravenna 6 D width","BRO120182657","International: US, Shoe Size: 6.5","2","en"
"1348","BROOKS W Ravenna 6 D width","BRO120182657","International: US, Shoe Size: 7","2","en"
"1348","BROOKS W Ravenna 6 D width","BRO120182657","International: US, Shoe Size: 7.5","2","en"
"1348","BROOKS W Ravenna 6 D width","BRO120182657","International: US, Shoe Size: 8","2","en"
"1348","BROOKS W Ravenna 6 D width","BRO120182657","International: US, Shoe Size: 8.5","2","en"
"1348","BROOKS W Ravenna 6 D width","BRO120182657","International: US, Shoe Size: 9","2","en"
"1348","BROOKS W Ravenna 6 D width","BRO120182657","International: US, Shoe Size: 9.5","2","en"
"1349","BROOKS W Transcend 2","BRO120183436","International: US, Shoe Size: 6","2","en"
"1349","BROOKS W Transcend 2","BRO120183436","International: US, Shoe Size: 6.5","2","en"
"1349","BROOKS W Transcend 2","BRO120183436","International: US, Shoe Size: 7","2","en"
"1349","BROOKS W Transcend 2","BRO120183436","International: US, Shoe Size: 7.5","2","en"
"1349","BROOKS W Transcend 2","BRO120183436","International: US, Shoe Size: 8","2","en"
"1349","BROOKS W Transcend 2","BRO120183436","International: US, Shoe Size: 8.5","2","en"
"1349","BROOKS W Transcend 2","BRO120183436","International: US, Shoe Size: 9","2","en"
"1349","BROOKS W Transcend 2","BRO120183436","International: US, Shoe Size: 9.5","2","en"
"1350","BROOKS W Transcend 2","BRO120183802","International: US, Shoe Size: 6","2","en"
"1350","BROOKS W Transcend 2","BRO120183802","International: US, Shoe Size: 6.5","2","en"
"1350","BROOKS W Transcend 2","BRO120183802","International: US, Shoe Size: 7","2","en"
"1350","BROOKS W Transcend 2","BRO120183802","International: US, Shoe Size: 7.5","2","en"
"1350","BROOKS W Transcend 2","BRO120183802","International: US, Shoe Size: 8","2","en"
"1350","BROOKS W Transcend 2","BRO120183802","International: US, Shoe Size: 8.5","2","en"
"1350","BROOKS W Transcend 2","BRO120183802","International: US, Shoe Size: 9","2","en"
"1350","BROOKS W Transcend 2","BRO120183802","International: US, Shoe Size: 9.5","2","en"
"1340","BROOKS W Pure Connect 4","BRO120176051","International: US, Shoe Size: 6","2","en"
"1340","BROOKS W Pure Connect 4","BRO120176051","International: US, Shoe Size: 6.5","2","en"
"1340","BROOKS W Pure Connect 4","BRO120176051","International: US, Shoe Size: 7","2","en"
"1340","BROOKS W Pure Connect 4","BRO120176051","International: US, Shoe Size: 7.5","2","en"
"1340","BROOKS W Pure Connect 4","BRO120176051","International: US, Shoe Size: 8","2","en"
"1340","BROOKS W Pure Connect 4","BRO120176051","International: US, Shoe Size: 8.5","2","en"
"1340","BROOKS W Pure Connect 4","BRO120176051","International: US, Shoe Size: 9","2","en"
"1340","BROOKS W Pure Connect 4","BRO120176051","International: US, Shoe Size: 9.5","2","en"
"1341","BROOKS W Pure Connect 4","BRO120176587","International: US, Shoe Size: 6","2","en"
"1341","BROOKS W Pure Connect 4","BRO120176587","International: US, Shoe Size: 6.5","2","en"
"1341","BROOKS W Pure Connect 4","BRO120176587","International: US, Shoe Size: 7","2","en"
"1341","BROOKS W Pure Connect 4","BRO120176587","International: US, Shoe Size: 7.5","2","en"
"1341","BROOKS W Pure Connect 4","BRO120176587","International: US, Shoe Size: 8","2","en"
"1341","BROOKS W Pure Connect 4","BRO120176587","International: US, Shoe Size: 8.5","2","en"
"1341","BROOKS W Pure Connect 4","BRO120176587","International: US, Shoe Size: 9","2","en"
"1341","BROOKS W Pure Connect 4","BRO120176587","International: US, Shoe Size: 9.5","2","en"
"1342","BROOKS W Launch2","BRO120178302","International: US, Shoe Size: 6","2","en"
"1342","BROOKS W Launch2","BRO120178302","International: US, Shoe Size: 6.5","2","en"
"1342","BROOKS W Launch2","BRO120178302","International: US, Shoe Size: 7","2","en"
"1342","BROOKS W Launch2","BRO120178302","International: US, Shoe Size: 7.5","2","en"
"1342","BROOKS W Launch2","BRO120178302","International: US, Shoe Size: 8","2","en"
"1342","BROOKS W Launch2","BRO120178302","International: US, Shoe Size: 8.5","2","en"
"1342","BROOKS W Launch2","BRO120178302","International: US, Shoe Size: 9","2","en"
"1342","BROOKS W Launch2","BRO120178302","International: US, Shoe Size: 9.5","2","en"
"1339","BROOKS W Pure Cadence 4","BRO120175559","International: US, Shoe Size: 6","2","en"
"1339","BROOKS W Pure Cadence 4","BRO120175559","International: US, Shoe Size: 6.5","2","en"
"1339","BROOKS W Pure Cadence 4","BRO120175559","International: US, Shoe Size: 7","2","en"
"1339","BROOKS W Pure Cadence 4","BRO120175559","International: US, Shoe Size: 7.5","2","en"
"1339","BROOKS W Pure Cadence 4","BRO120175559","International: US, Shoe Size: 8","2","en"
"1339","BROOKS W Pure Cadence 4","BRO120175559","International: US, Shoe Size: 8.5","2","en"
"1339","BROOKS W Pure Cadence 4","BRO120175559","International: US, Shoe Size: 9","2","en"
"1339","BROOKS W Pure Cadence 4","BRO120175559","International: US, Shoe Size: 9.5","2","en"
"1328","ONITSUKA TIGER Mexico 66 Slip On","ASITH3K0N2001","International: JPN, Shoe Size: 22.5","2","en"
"1328","ONITSUKA TIGER Mexico 66 Slip On","ASITH3K0N2001","International: JPN, Shoe Size: 23","2","en"
"1328","ONITSUKA TIGER Mexico 66 Slip On","ASITH3K0N2001","International: JPN, Shoe Size: 23.5","2","en"
"1328","ONITSUKA TIGER Mexico 66 Slip On","ASITH3K0N2001","International: JPN, Shoe Size: 24","2","en"
